"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1122","The 'Active' filter should show only active items","chromium","Fri Dec 19 18:40:32 UTC 2025","passed","Fri Dec 19 18:40:33 UTC 2025","Todo Filters","","",""
"","2616","The 'All' filter should show active and completed items","webkit","Fri Dec 19 18:40:52 UTC 2025","passed","Fri Dec 19 18:40:54 UTC 2025","Todo Filters","","",""
"","951","The 'Completed' filter should only show completed items","chromium","Fri Dec 19 18:40:33 UTC 2025","passed","Fri Dec 19 18:40:34 UTC 2025","Todo Filters","","",""
"","1570","The 'All' filter should show active and completed items","firefox","Fri Dec 19 18:40:38 UTC 2025","passed","Fri Dec 19 18:40:39 UTC 2025","Todo Filters","","",""
"","1824","The 'Active' filter should show only active items","webkit","Fri Dec 19 18:40:54 UTC 2025","passed","Fri Dec 19 18:40:56 UTC 2025","Todo Filters","","",""
"","1144","The 'Completed' filter should only show completed items","firefox","Fri Dec 19 18:40:41 UTC 2025","passed","Fri Dec 19 18:40:42 UTC 2025","Todo Filters","","",""
"","7971","There should be 3 filters available when there are items on the list","webkit","Fri Dec 19 18:40:43 UTC 2025","passed","Fri Dec 19 18:40:51 UTC 2025","Todo Filters","","",""
"","2271","There should be 3 filters available when there are items on the list","firefox","Fri Dec 19 18:40:35 UTC 2025","passed","Fri Dec 19 18:40:37 UTC 2025","Todo Filters","","",""
"","1637","The 'Completed' filter should only show completed items","webkit","Fri Dec 19 18:40:56 UTC 2025","passed","Fri Dec 19 18:40:58 UTC 2025","Todo Filters","","",""
"","1396","The 'Active' filter should show only active items","firefox","Fri Dec 19 18:40:39 UTC 2025","passed","Fri Dec 19 18:40:41 UTC 2025","Todo Filters","","",""
"","1315","The 'All' filter should show active and completed items","chromium","Fri Dec 19 18:40:31 UTC 2025","passed","Fri Dec 19 18:40:32 UTC 2025","Todo Filters","","",""
"","1383","There should be 3 filters available when there are items on the list","chromium","Fri Dec 19 18:40:29 UTC 2025","passed","Fri Dec 19 18:40:31 UTC 2025","Todo Filters","","",""
